Id,Wind_forecast
313,2519.2537
314,4193.96
315,3780.0205
316,3512.8528
317,4845.42
318,6412.16
319,4653.5566
320,3578.6477
321,3332.38
322,4192.257
323,2630.5713
324,4046.2163
325,3865.0667
326,5621.2383
327,4570.9434
328,4494.5273
329,3739.0933
330,6412.442
331,4711.425
332,4981.6895
333,4852.656
334,7104.828
335,6713.7827
336,9218.728
337,6526.3193
338,5213.4443
339,7950.745
340,7632.1504
341,5069.633
342,4489.893
343,3619.7444
344,3084.2822
345,3281.3894
346,4227.0566
347,3257.9004
348,4359.7764
349,2768.7432
350,3133.2676
351,2641.0068
352,4115.2827
353,3765.3518
354,2268.089
355,2378.2676
356,2362.6294
357,2460.145
358,4321.3745
359,3939.9214
360,3418.8728
361,3645.594
362,3718.8093
363,3272.059
364,3895.9285
365,4071.3867
366,4118.83
367,3510.2153
368,4203.9907
369,4912.0405
370,4376.8687
371,2854.363
372,2687.6777
373,2741.7234
374,3006.9673
375,3911.4194
376,2576.0376
377,2604.1653
378,2513.623
379,2331.9854
380,3541.9648
381,3724.9924
382,3615.9343
383,5849.8237
384,5980.801
385,7233.4233
386,6277.8774
387,6427.1953
388,5124.819
389,5264.478
390,3503.2297
391,4156.492
392,4900.6743
393,4454.9106
394,6293.2915
395,2962.3599
