Id,Load_forecast
130,53615.52342926416
131,60873.749583710356
132,59471.385501474964
133,56536.127646977744
134,56972.45272875732
135,52576.14790789586
136,50911.97758441283
137,57880.62629475852
138,65399.5940734626
139,65005.26658438159
140,68526.4721413124
141,68551.55955711732
142,66010.84900859745
143,63984.10429315322
144,74386.42350029523
145,75072.29298044273
146,71741.00114672628
147,73406.76377717097
148,72097.26599006381
149,66154.37624059702
150,65351.09144590558
151,70810.08416876708
152,70377.75601515433
153,65781.09984514343
154,64163.22440110663
155,63158.65940895236
156,58263.340885659665
157,55861.6857695198
158,60228.06144056026
159,64027.87512279949
160,65694.59026159866
161,68423.11063483999
162,69166.11213023048
163,62329.26262576873
164,59785.41075841773
165,63957.18733989188
166,64336.48968237229
167,63659.42660133687
168,61530.66113382661
169,57308.02414133725
170,50912.34662776802
171,48434.497120893655
172,55374.767253786864
173,57447.368043627604
174,57945.98675645521
175,57131.54301064659
176,56891.61482242294
177,52202.341535534724
178,52644.71326907506
179,63265.877528971745
180,66908.11610890215
181,68036.01991049285
182,66681.41559036876
183,64463.069167378875
184,59355.63335170842
185,58313.950068517115
186,64534.2337765555
187,63988.7292323644
188,60474.314739636895
189,57488.345966736364
190,51794.19691721448
191,52887.65025744045
192,51139.398580690264
193,52460.43578505655
194,49558.18909231347
195,52906.38574769186
196,54082.45773365187
197,52019.59108325921
198,46073.17627434958
199,42604.1685862272
200,51206.25099313451
201,53080.797988964354
202,50170.717964513155
203,48232.37174985784
204,46633.07287467008
205,43462.696608617196
206,43188.04330907083
207,50864.30113146347
208,53062.40552838841
209,53839.98806934608
210,47371.699507810285
211,45918.634149824225
212,43980.70553987953
213,43622.233683093626
214,52816.301620610015
215,53483.49418212977
216,52491.70328445912
217,52961.593444995786
218,51510.27365611702
219,46663.87888634404
220,44927.12493998479
221,48456.74186696923
222,42708.021409802066
223,48121.19521537575
224,47614.497678484244
225,50830.53757903076
226,47914.182474852416
227,44942.66732403696
228,49103.17319232646
229,51986.35946246887
230,48015.72399691086
231,45948.23429283549
232,48049.04727580993
233,43813.93637726304
234,40811.70964490317
235,46197.59120750572
236,48908.84007999211
237,48031.966471387124
238,48024.24965792918
239,46250.393537997195
240,39494.37370708021
241,39062.50101599677
242,43482.96932126002
243,39115.483426769664
244,44998.10997199881
245,43189.60749052972
246,42781.96696473054
247,39009.796136959994
248,36835.21733123591
249,40106.560069815634
250,40447.63474873264
251,43100.287269562745
252,43218.111677592606
253,44288.25043939118
254,40466.30764186999
255,38147.85832589813
256,40931.34719490904
257,47357.512628784854
258,44250.85047636722
259,43598.597183917285
260,38225.54681846149
261,36416.67680195399
262,36656.22231694062
263,40174.78259671548
264,44670.04384915739
265,42232.4075433642
266,40757.588638402376
267,42535.03565147886
268,38606.12730900207
269,35954.237549389705
270,37566.19296530767
271,37355.64383565092
272,39908.96571749142
273,40631.21594473167
274,42843.95788941306
275,37693.08060814803
276,35269.52301587535
277,39049.79629842968
278,44116.818116496856
279,42216.57667386129
280,42101.75194063568
281,43030.538408319706
282,38739.44517110638
283,35908.77901343123
284,40366.18411766902
285,43867.59761022268
286,43055.492394074594
287,42894.749182258056
288,43271.171520383665
289,39295.99176241239
290,36949.39189428216
291,40402.82108191153
292,44389.60222114398
293,43684.805308138006
294,43842.11852233833
295,42773.68651095149
296,39012.908051167964
297,36887.825236051016
298,42340.15684951572
299,44585.65958611834
300,43864.46302601029
301,43798.46296292514
302,44206.33662467242
303,38168.7493997931
304,36032.87003638318
305,41340.86206374869
306,43913.74046059913
307,44334.04742462074
308,43434.14920707326
309,44019.799784544644
310,40364.68803925838
311,38863.35136249448
312,43656.64261354235
313,46944.64884133596
314,46897.67708155213
315,45270.25947060154
316,43736.16966028018
317,34736.608061773695
318,38205.15044213034
319,42955.22527520464
320,45237.128585528306
321,45928.81598118272
322,45199.01187916643
323,43424.670467932934
324,40987.903620024736
325,36912.94363543741
326,42884.98825568183
327,43984.566042638064
328,41975.854186501325
329,42384.40576712191
330,40598.87475713921
331,38634.158213509894
332,35809.24991994836
333,40842.39290728872
334,40751.09233975005
335,40083.61499633791
336,40812.26659481204
337,38761.41291561065
338,35585.57820025137
339,33898.53378266088
340,39515.028306782246
341,39021.585527028656
342,38993.27364400612
343,39394.31793181181
344,39079.22672465054
345,37054.93160270287
346,35489.14504040413
347,39980.75545090054
348,38754.98551856945
349,36885.05679287124
350,40527.78188849791
351,40450.73745958538
352,38472.15759036268
353,37564.474585023265
354,42265.500749561426
355,43867.43972703554
356,46365.00265832068
357,46114.95142362882
358,45417.72480312235
359,40663.808089213635
360,36674.230777027085
361,40328.768640202674
362,41484.5364872828
363,43110.123170350984
364,42403.07563229781
365,41802.937601349186
366,38978.23416278746
367,36730.834201317506
368,41648.03608673491
369,44366.606671919195
370,45962.877279587614
371,45620.21638831692
372,44857.70462128686
373,41650.621430121864
374,38562.91468226399
375,43357.535240303514
376,45489.84693953698
377,44785.35503595864
378,44322.84170255823
379,43707.33504386301
380,39161.24173359156
381,37042.374669676086
382,42583.358071753304
383,43451.04808698862
384,43580.79050667148
385,43545.83461403322
386,42961.16318407769
387,37954.83264546883
388,36261.03305921293
389,41813.483702370846
390,43727.12658437713
391,43540.354315397715
392,43706.88866075027
393,42816.421932538964
394,38930.29070805508
395,39686.872040812224
